epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3003.37,1.64411,3.17313,1.7607,0.78982,0.26077,0.51689,0.22203,1.44367,3.16814,1.64326,0.000654762,0.000654762,0.000654762
2,5962.65,1.4906,2.22766,1.58853,0.48563,0.51701,0.48748,0.2338,1.537,2.40475,1.70637,0.00119061,0.00119061,0.00119061
3,8734.06,1.46052,1.74138,1.54147,0.54429,0.53515,0.50495,0.24103,1.61448,3.19437,1.90578,0.00159445,0.00159445,0.00159445
4,11658,1.4072,1.41724,1.51135,0.65133,0.51701,0.60206,0.27626,1.59079,1.81995,1.67475,0.001406,0.001406,0.001406
5,14566.4,1.3508,1.24719,1.49726,0.7073,0.63492,0.70162,0.3689,1.34142,1.44077,1.5013,0.001208,0.001208,0.001208
6,17027.9,1.23672,1.11385,1.40181,0.64459,0.66667,0.71154,0.39443,1.39787,1.47987,1.51989,0.00101,0.00101,0.00101
7,19279.3,1.20609,1.01568,1.37391,0.80507,0.73923,0.85542,0.55196,1.20381,1.04563,1.35937,0.000812,0.000812,0.000812
8,21458.3,1.15155,0.94136,1.32107,0.78488,0.70323,0.82458,0.52188,1.21123,1.08727,1.35466,0.000614,0.000614,0.000614
9,23698,1.08857,0.89177,1.28021,0.84732,0.74376,0.87834,0.57476,1.16566,0.94548,1.3335,0.000416,0.000416,0.000416
10,25831.5,1.02963,0.82325,1.24554,0.77808,0.72109,0.84009,0.5222,1.19373,1.08148,1.38642,0.000218,0.000218,0.000218
